kolom_naam;record_aantal;tabel_naam;aantal_veldwaarden_met_null;aantal_lege_veldwaarde;aantal_veldwaarden_met_lege_lijst;totaal_aantal_veldwaarden;aantal_uunieke_veldwaarden;percentage_unieke_veldwaarden;kolom_is_leeg;veldwaarde_is_uuid;veldwaarde_is_url;veldwaarde_is_email;veldwaarde_is_int;veldwaarde_is_float;veldwaarde_is_bool;veldwaarde_is_dict;veldwaarde_bevat_html;veldwaarde_is_date;veldwaarde_is_str;aantal_decimalen;grootste_int_waarde;langste_str_waarde;primaire_sleutel;vreemde_sleutel;gerelateerde_tabel_naam;gerelateerde_kolom_naam
Hoogte extreem;2956;Hogere_planten;0;0;0;95;24;0.25;False;0;0;0;95;0;0;0;0;0;0;0;4;4;false;false;;
Stekels doornen;2956;Hogere_planten;0;0;0;84;5;0.06;False;0;0;0;0;0;0;0;0;0;84;0;0;4;false;false;;
Bladvorm;2956;Hogere_planten;0;0;0;2125;15;0.01;False;0;0;0;0;0;0;0;0;0;2125;0;0;4;false;false;;
Bloem geslacht;2956;Hogere_planten;0;0;0;2340;5;0.0;False;0;0;0;0;0;0;0;0;0;2340;0;0;4;false;false;;
Worteldiepte 1;2956;Hogere_planten;0;0;0;613;5;0.01;False;0;0;0;613;0;0;0;0;0;0;0;1;4;false;false;;
Worteldiepte 2;2956;Hogere_planten;0;0;0;613;5;0.01;False;0;0;0;613;0;0;0;0;0;0;0;1;4;false;false;;
Bloemkleur 1;2956;Hogere_planten;0;0;0;2060;11;0.01;False;0;0;0;0;0;0;0;0;0;2060;0;0;4;false;false;;
Bloemkleur 2;2956;Hogere_planten;0;0;0;605;10;0.02;False;0;0;0;0;0;0;0;0;0;605;0;0;4;false;false;;
Bloemkleur 3;2956;Hogere_planten;0;0;0;25;5;0.2;False;0;0;0;0;0;0;0;0;0;25;0;0;4;false;false;;
Bloemkleur*;2956;Hogere_planten;0;0;0;605;5;0.01;False;0;0;0;0;0;0;0;0;0;605;0;0;4;false;false;;
Vruchttype;2956;Hogere_planten;0;0;0;2878;14;0.0;False;0;0;0;2878;0;0;0;0;0;0;0;2;4;false;false;;
Vruchtkleur;2956;Hogere_planten;0;0;0;2141;13;0.01;False;0;0;0;0;0;0;0;0;0;2141;0;0;4;false;false;;
Zaadvorm;2956;Hogere_planten;0;0;0;1787;11;0.01;False;0;0;0;1787;0;0;0;0;0;0;0;2;4;false;false;;
Chromosoomgetal;2956;Hogere_planten;0;0;0;1801;302;0.17;False;0;0;0;1346;0;0;0;0;227;228;0;3;20;false;false;;
Levensduur 1;2956;Hogere_planten;0;0;0;2119;5;0.0;False;0;0;0;2119;0;0;0;0;0;0;0;1;4;false;false;;
Levensduur*;2956;Hogere_planten;0;0;0;208;2;0.01;False;0;0;0;0;0;0;0;0;0;208;0;0;4;false;false;;
Levensduur 2;2956;Hogere_planten;0;0;0;208;6;0.03;False;0;0;0;208;0;0;0;0;0;0;0;1;4;false;false;;
Monocarp;2956;Hogere_planten;0;0;0;89;1;0.01;False;0;0;0;0;0;0;0;0;0;89;0;0;4;false;false;;
Kiemtijd 1;2956;Hogere_planten;0;0;0;1269;19;0.01;False;0;0;0;1269;0;0;0;0;0;0;0;2;4;false;false;;
Kiemtijd*;2956;Hogere_planten;0;0;0;276;2;0.01;False;0;0;0;0;0;0;0;0;0;276;0;0;4;false;false;;
Kiemtijd 2;2956;Hogere_planten;0;0;0;276;14;0.05;False;0;0;0;276;0;0;0;0;0;0;0;2;4;false;false;;
Kiemtijd?;2956;Hogere_planten;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;false;false;;
Begin bloei;2956;Hogere_planten;0;0;0;2094;11;0.01;False;0;0;0;2094;0;0;0;0;0;0;0;2;4;false;false;;
Eind bloei;2956;Hogere_planten;0;0;0;2094;13;0.01;False;0;0;0;2094;0;0;0;0;0;0;0;2;4;false;false;;
Begin vrucht;2956;Hogere_planten;0;0;0;351;14;0.04;False;0;0;0;351;0;0;0;0;0;0;0;2;4;false;false;;
Eind vrucht;2956;Hogere_planten;0;0;0;335;14;0.04;False;0;0;0;335;0;0;0;0;0;0;0;2;4;false;false;;
Grondwater;2956;Hogere_planten;0;0;0;1650;9;0.01;False;0;0;0;1650;0;0;0;0;0;0;0;1;4;false;false;;
Stroming Min;2956;Hogere_planten;0;0;0;2775;5;0.0;False;0;0;0;2775;0;0;0;0;0;0;0;1;4;false;false;;
Stroming Max;2956;Hogere_planten;0;0;0;2775;7;0.0;False;0;0;0;2775;0;0;0;0;0;0;0;1;4;false;false;;
Stroming Extr;2956;Hogere_planten;0;0;0;2775;6;0.0;False;0;0;0;2775;0;0;0;0;0;0;0;1;4;false;false;;
